[55.665466,37.544658]
[55.672916,37.914081]
[55.906046,37.53577] 
[55.575332,37.606582]
[55.900768,37.631831]
[55.638492,37.664436]
[55.607398,37.505908]
[55.788631,38.96934] 
[55.643531,37.347568]
[55.652660,37.387325]
[55.732925,37.700028]
[55.673793,37.493186]
[55.679615,37.699600]
[55.777027,37.673606]
[55.797223,37.459635]
[55.901025,37.628403]
[55.566844,37.605846]
[55.80924,37.463076] 
[55.483161,37.559803]
[56.301228,38.14394] 
[55.786295,37.110973]
[55.566822,37.605739]
[55.676785,37.85417] 
[55.566852,37.605823]
[55.679573,37.701488]
[55.475807,37.563694]
[55.664633,38.032815]
[55.537117,37.539916]
[56.303396,38.139725]
[55.431362,37.497085]
[55.792575,37.84121] 
[56.301065,38.144186]
[55.539272,37.576011]
[55.624610,37.642932]
[55.484058,37.560218]
[55.639938,37.475231]
[55.634506,37.347263]
[55.665088,37.72425] 
[55.607688,37.655933]
[55.460742,37.559024]
[55.815223,37.522226]
[55.942731,37.779786]
[55.679267,37.698684]
[55.6729,37.914003]  
[55.630199,37.623329]
[55.783095,37.656395]
[55.906138,37.535796]
[55.483089,37.559188]
[55.693746,37.491361]
[55.587841,37.649868]
[55.093991,38.782933]
[55.708551,37.646283]
[55.679729,37.700340]
[55.675193,37.663307]
[55.686897,37.680072]
[55.705713,37.618246]
[55.621459,37.671360]
[55.362224,37.522087]
[55.617267,37.781291]
[55.091648,38.27051] 
[55.611748,37.662413]
[55.835391,37.403121]
[55.566814,37.605735]
[55.895042,37.682960]
[55.634685,37.649097]
[55.566814,37.605747]
[55.679588,37.701675]
[55.783216,37.656676]
[55.480190,37.565082]
[55.571631,38.91627] 
[55.906046,37.53577] 
[55.561336,37.669967]
[56.086163,37.503263]
[55.484317,37.559665]
[55.483577,37.556522]
[55.677213,37.729301]
[55.881141,37.650409]
[55.893998,37.699331]
[55.783271,37.6566]  
[55.679214,37.699031]
[55.634093,38.930036]
[55.566871,37.605777]
[55.701114,37.544494]
[55.679286,37.699047]
[55.679370,37.701175]
[55.561336,37.669967]
[55.704923,37.588455]
[55.484474,37.557125]
[55.915241,37.758638]
[55.600266,37.65311] 
[55.89965,37.672776] 
[55.59611,37.654741] 
[55.867755,37.639854]
[55.128353,37.450946]
[55.74175,37.558393] 
[55.815986,37.592563]
[55.835441,37.403060]
[55.484539,37.557567]
[55.601978,37.714027]
[55.561347,37.669998]
[55.624610,37.643325]
[55.613746,37.706665]
[55.428882,37.706615]
[55.835376,37.403095]
[55.899926,37.630888]
[55.767005,38.69785] 
[55.583646,37.379458]
[55.745423,38.891428]
[55.679599,37.700321]
[55.561336,37.669971]
[55.464313,37.562515]
[55.882008,37.487851]
[55.389087,37.776321]
[55.621206,37.13145] 
[55.605274,37.714244]
[55.827198,37.489603]
[55.673071,37.914148]
[55.81337,37.523103] 
[55.375446,37.540061]
[55.835407,37.403030]
[55.663156,37.509065]
[55.566276,37.604625]
[55.755536,38.928825]
[55.791030,37.656330]
[55.516193,37.576957]
[55.566291,37.604610]
[55.899906,37.631531]
[55.673316,37.489547]
[55.664633,38.032815]
[55.233803,38.358791]
[55.733001,37.700233]
[55.673240,37.489456]
[55.651081,37.412410]
[55.739748,37.550273]
[55.566787,37.605792]
[55.877056,37.650222]
[55.566814,37.605747]
[55.09728,38.285826] 
[55.90604,37.535811] 
[55.880693,37.489838]
[55.900091,37.629743]
[55.794916,37.784976]
[55.704603,37.588296]
[55.483757,37.559509]
[55.121211,37.959606]
[55.677890,37.698287]
[55.485862,37.557189]
[56.300903,38.144156]
[55.646816,37.656814]
[55.508098,37.573684]
[55.332756,37.530325]
[55.794573,37.397356]
[55.624015,37.290756]
[55.537467,37.539707]
[55.881038,37.649909]
[55.637725,37.652767]
[55.915165,37.758678]
[55.571631,38.91627] 
[55.8152,37.522491]  
[55.679622,37.699607]
[55.472812,37.546703]
[55.499504,37.572467]
[55.484775,37.556682]
[55.783045,37.656616]
[55.400657,37.563606]
[55.745608,37.57752] 
[55.484008,37.557029]
[55.905418,37.536461]
[55.672996,37.914123]
[55.543048,37.904216]
[55.707351,37.751566]
[55.808553,37.776596]
[55.600865,37.652918]
[55.671718,37.476468]
[55.875343,37.739803]
[55.582736,37.672235]
[55.483039,37.558486]
[55.900436,37.631008]
[55.640781,37.621955]
[55.394181,37.779976]
[55.783406,37.65671] 
[55.601856,37.714164]
[56.132491,37.977695]
[55.745731,38.892056]
[55.792935,37.489978]
[55.484554,37.562400]
[55.679607,37.699764]
[55.810305,37.490246]
[55.566837,37.605838]
[55.368854,37.556491]
[55.075113,37.839745]
[55.901025,37.628403]
[55.483665,37.559761]
[55.673225,37.489917]
[55.665468,37.724318]
[55.90604,37.535811] 
[55.118543,37.946936]
[55.931434,37.493080]
[55.416675,37.834777]
[55.653371,37.74306] 
[55.741028,37.558813]
[55.075236,37.83945] 
[55.673033,37.91391] 
[56.069895,37.385283]
